symbol,name,mktcap,industry
A144620,코오롱머티리얼,254037,제조업
A044450,KSS해운,258523,제조업
A005720,넥센,260224,제조업
A016590,신대양제지,255488,제조업
A037710,광주신세계,256800,제조업
A001130,대한제분,254345,제조업
A006490,인스코비,250255,제조업
A094280,효성ITX,254858,제조업
A020120,키다리스튜디오,250857,제조업
A003560,IHQ,242751,제조업
A004310,현대약품,245120,제조업
A008700,아남전자,256054,제조업
A008060,대덕,246042,제조업
A248170,샘표식품,249885,제조업
A092230,KPX홀딩스,245452,제조업
A004380,삼익THK,257250,제조업
A068290,삼성출판사,249500,제조업
A004960,한신공영,241249,제조업
A017180,명문제약,243107,제조업
A101530,해태제과식품,238758,제조업
A229640,LS전선아시아,241324,제조업
A011760,현대상사,228861,제조업
A005390,신성통상,232808,제조업
A030210,KTB투자증권,232812,증권업
A035510,신세계 I&C,241660,제조업
A089470,HDC현대EP,230637,제조업
A001070,대한방직,213855,제조업
A078520,에이블씨엔씨,220593,제조업
A016610,DB금융투자,224541,증권업
A200880,서연이화,220822,제조업
A003120,일성신약,221312,제조업
A030790,비케이탑스,211358,제조업
A003920,남양유업,219600,제조업
A014790,한라,221587,제조업
A001270,부국증권,217249,증권업
A070960,용평리조트,219729,제조업
A102260,동성코퍼레이션,221725,제조업
A138490,코오롱플라스틱,212800,제조업
A003570,S&T중공업,218138,제조업
A000680,LS네트웍스,223013,제조업
A007860,서연,210849,제조업
A003200,일신방직,214320,제조업
A000540,흥국화재,218104,보험업
A004980,성신양회,208632,제조업
A033920,무학,213750,제조업
A101140,인바이오젠,207019,제조업
A123690,한국화장품,210491,제조업
A091090,세원셀론텍,216323,제조업
A028100,동아지질,208150,제조업
A002030,아세아,211434,제조업
A001340,백광산업,203705,제조업
A015360,예스코홀딩스,207600,제조업
A005680,삼영전자,212000,제조업
A006890,태경케미컬,187340,제조업
A093230,이아이디,206876,제조업
A034300,신세계건설,203200,제조업
A000970,한국주철관,199048,제조업
A002170,삼양통상,198600,제조업
A001460,BYC,198628,제조업
A020760,일진디스플,161392,제조업
A095570,AJ네트웍스,196420,제조업
A055490,테이팩스,191065,제조업
A002900,동양물산,214898,제조업
A090350,노루페인트,198800,제조업
A003030,세아제강지주,195072,제조업
A004890,동일산업,192077,제조업
A023960,에쓰씨엔지니어링,176117,제조업
A000490,대동공업,191012,제조업
A001250,GS글로벌,195192,제조업
A092200,디아이씨,185693,제조업
A014160,대영포장,183187,제조업
A005320,국동,187626,제조업
A004560,현대비앤지스틸,191501,제조업
A001790,대한제당,187017,제조업
A025750,한솔홈데코,180466,제조업
A004440,삼일씨엔에스,187796,제조업
A004140,동방,190303,제조업
A013520,화승알앤에이,186076,제조업
A143210,핸즈코퍼레이션,179279,제조업
A009160,SIMPAC,185820,제조업
A007210,벽산,183741,제조업
A107590,미원홀딩스,178640,제조업
A002720,국제약품,184005,제조업
A000230,일동홀딩스,178299,제조업
A039570,HDC아이콘트롤스,190113,제조업
A011150,CJ씨푸드,179654,제조업
A007160,사조산업,175250,제조업
A012030,DB,177234,제조업
A012690,모나리자,176456,제조업
A003350,한국화장품제조,173122,제조업
A044820,코스맥스비티아이,173351,제조업
A077970,STX엔진,171646,제조업
A074610,이엔플러스,168640,제조업
A003580,넥스트사이언스,171019,제조업
A013870,지엠비코리아,170315,제조업
A015890,태경산업,173034,제조업
A003160,디아이,171972,제조업
A000180,성창기업지주,164963,제조업
A023450,동남합성,164255,제조업
A009470,삼화전기,162369,제조업
A004770,써니전자,164991,제조업
A102280,쌍방울,163243,제조업
A047400,유니온머티리얼,165690,제조업
A214420,토니모리,162817,제조업
A130660,한전산업,162511,제조업
A014280,금강공업,162230,제조업
A004540,깨끗한나라,161438,제조업
A004970,신라교역,160800,제조업
A007110,일신석재,155688,제조업
A007660,이수페타시스,156614,제조업
A003960,사조대림,157629,제조업
A004150,한솔홀딩스,158372,제조업
A012200,계양전기,157132,제조업
A004270,남성,154626,제조업
A100250,진양홀딩스,153992,제조업
A002460,화성산업,152522,제조업
A093240,형지엘리트,145960,제조업
A010690,화신,165872,제조업
A006380,카프로,153400,제조업
A004840,DRB동일,152265,제조업
A119650,KC코트렐,151450,제조업
A012280,영화금속,148971,제조업
A017900,광전자,151813,제조업
A128820,대성산업,151313,제조업
A013570,디와이,150022,제조업
A004720,우리들제약,156693,제조업
A009320,대우부품,152468,제조업
A008040,사조동아원,146790,제조업
A003830,대한화섬,148072,제조업
A000860,강남제비스코,147550,제조업
A000320,노루홀딩스,150855,제조업
A002070,비비안,145978,제조업
A163560,동일고무벨트,142643,제조업
A000700,유수홀딩스,144532,제조업
A013700,까뮤이앤씨,144713,제조업
A007540,샘표,147241,제조업
A002700,신일전자,143516,제조업
A024090,디씨엠,143910,제조업
A015590,큐로,141326,제조업
A006220,제주은행,134780,은행업
A117580,대성에너지,143825,제조업
A210540,디와이파워,145198,제조업
A120030,조선선재,141486,제조업
A011390,부산산업,144672,제조업
A012800,대창,145369,제조업
A004060,SG세계물산,143317,제조업
A001260,남광토건,137605,제조업
A008970,동양철관,142662,제조업
A006110,삼아알미늄,139150,제조업
A035150,백산,140844,제조업
A027740,마니커,142702,제조업
A002450,삼익악기,138965,제조업
A000520,삼일제약,138919,제조업
A134380,미원화학,138114,제조업
A002760,보락,139867,제조업
A282690,동아타이어,137330,제조업
A005740,크라운해태홀딩스,135556,제조업
A004250,NPC,131458,제조업
A002410,범양건영,135583,제조업
A009460,한창제지,132462,제조업
A009270,신원,131816,제조업
A002880,대유에이텍,134180,제조업
A067830,세이브존I&C,132562,제조업
A118000,우리들휴브레인,137086,제조업
A103590,일진전기,141276,제조업
A003480,한진중공업홀딩스,131555,제조업
A005430,한국공항,134887,제조업
A009070,KCTC,128100,제조업
A003460,유화증권,129565,증권업
A006740,영풍제지,126318,제조업
A024900,덕양산업,126678,제조업
A010600,웰바이오텍,123697,제조업
A075180,새론오토모티브,125760,제조업
A014580,태경비케이,141777,제조업
A085310,엔케이,119175,제조업
A001380,SG충방,124775,제조업
A009190,대양금속,132751,제조업
A002710,TCC스틸,120750,제조업
A001750,한양증권,128558,증권업
A009440,KC그린홀딩스,122944,제조업
